dayhours,price,room_bed,room_bath,living_measure,lot_measure,ceil,coast,sight,condition,quality,ceil_measure,basement,yr_built,living_measure15,lot_measure15,furnished,total_area,month/year,price_bins,has_basement,house_land_ratio,has_renovated
2014-05-09,254000,3.0,2.5,1850.0,4597.0,2.0,0.0,0.0,3.0,8.0,1850.0,0.0,2003.0,2210.0,5000.0,0.0,6447.0,May/2014,1,No,28.999999999999996,No
2014-05-14,489200,3.0,2.75,1850.0,9600.0,1.5,0.0,0.0,5.0,7.0,1850.0,0.0,1965.0,1250.0,10500.0,0.0,11450.0,May/2014,3,No,16.0,No
2014-05-27,326500,3.0,1.0,1810.0,12375.0,2.0,0.0,0.0,3.0,7.0,1810.0,0.0,1970.0,1420.0,9357.0,0.0,14185.0,May/2014,2,No,13.0,No
2014-05-02,440000,2.0,1.0,800.0,4850.0,1.0,0.0,0.0,4.0,7.0,800.0,0.0,1944.0,1150.0,4365.0,0.0,5650.0,May/2014,2,No,14.000000000000002,No
2014-05-19,475000,4.0,2.5,3060.0,10043.0,1.0,0.0,0.0,4.0,8.0,1700.0,1360.0,1968.0,1630.0,8296.0,0.0,13103.0,May/2014,3,Yes,23.0,No
2014-05-28,479900,3.0,2.0,1980.0,12150.0,1.0,0.0,0.0,3.0,9.0,1980.0,0.0,1994.0,2200.0,12150.0,1.0,14130.0,May/2014,3,No,14.000000000000002,No
2014-05-28,168500,3.0,1.0,1100.0,10125.0,1.0,0.0,0.0,3.0,7.0,1100.0,0.0,1969.0,1570.0,10650.0,0.0,11225.0,May/2014,1,No,10.0,No
2014-05-28,315000,3.0,2.0,1300.0,3731.0,1.0,0.0,0.0,3.0,7.0,900.0,400.0,1993.0,1300.0,3731.0,0.0,5031.0,May/2014,2,Yes,26.0,No
2014-05-21,195000,3.0,1.75,1380.0,7350.0,1.0,0.0,0.0,3.0,7.0,990.0,390.0,1981.0,1660.0,8400.0,0.0,8730.0,May/2014,1,Yes,16.0,No
2014-05-28,135000,2.0,1.0,780.0,6685.0,1.0,0.0,0.0,4.0,5.0,780.0,0.0,1948.0,880.0,6695.0,0.0,7465.0,May/2014,1,No,10.0,No
2014-05-10,394950,3.0,2.5,1350.0,1250.0,3.0,0.0,0.0,3.0,8.0,1270.0,80.0,2006.0,1350.0,886.0,0.0,2600.0,May/2014,2,Yes,52.0,No
2014-05-12,192000,2.0,1.0,700.0,10540.0,1.0,0.0,0.0,3.0,6.0,700.0,0.0,1953.0,890.0,10540.0,0.0,11240.0,May/2014,1,No,6.0,No
2014-05-06,910000,3.0,3.5,3020.0,4082.0,2.0,0.0,0.0,3.0,9.0,2080.0,940.0,1954.0,2060.0,5102.0,1.0,7102.0,May/2014,5,Yes,43.0,Yes
2014-05-21,344500,4.0,2.75,1800.0,5453.0,1.0,0.0,0.0,3.0,7.0,1050.0,750.0,2002.0,1820.0,6900.0,0.0,7253.0,May/2014,2,Yes,25.0,No
2014-05-27,515000,4.0,2.5,3200.0,6473.0,2.0,0.0,0.0,3.0,7.0,3200.0,0.0,2005.0,2480.0,6140.0,0.0,9673.0,May/2014,3,No,33.0,No
2014-05-28,621138,3.0,2.25,2180.0,7741.0,2.0,0.0,0.0,3.0,9.0,2180.0,0.0,1986.0,2300.0,8581.0,1.0,9921.0,May/2014,3,No,22.0,No
2014-05-21,525000,3.0,1.0,1450.0,4000.0,1.0,0.0,1.0,4.0,8.0,950.0,500.0,1948.0,1880.0,4000.0,0.0,5450.0,May/2014,3,Yes,27.0,No
2014-05-09,255000,2.0,1.0,810.0,7980.0,1.0,0.0,0.0,1.0,6.0,810.0,0.0,1928.0,1440.0,7980.0,0.0,8790.0,May/2014,1,No,9.0,No
2014-05-30,249950,4.0,1.0,1290.0,5000.0,1.5,0.0,0.0,3.0,7.0,1290.0,0.0,1957.0,1440.0,2500.0,0.0,6290.0,May/2014,1,No,21.0,No
2014-05-09,765000,4.0,2.75,2790.0,10819.0,2.0,0.0,0.0,3.0,10.0,2790.0,0.0,1996.0,3080.0,12603.0,1.0,13609.0,May/2014,4,No,21.0,No
2014-05-20,271310,2.0,1.0,870.0,5340.0,1.5,0.0,0.0,2.0,6.0,870.0,0.0,1906.0,1190.0,4440.0,0.0,6210.0,May/2014,2,No,14.000000000000002,No
2014-05-21,475000,4.0,2.0,1790.0,2250.0,1.0,0.0,2.0,4.0,7.0,840.0,950.0,1909.0,1440.0,1545.0,0.0,4040.0,May/2014,3,Yes,44.0,No
2014-05-06,513000,4.0,2.5,2000.0,5684.0,2.0,0.0,0.0,3.0,8.0,2000.0,0.0,1996.0,2210.0,7066.0,0.0,7684.0,May/2014,3,No,26.0,No
2014-05-05,580000,2.0,1.0,2540.0,7000.0,1.0,0.0,0.0,5.0,8.0,1320.0,1220.0,1942.0,2160.0,6000.0,0.0,9540.0,May/2014,3,Yes,27.0,No
2014-05-19,241000,2.0,2.0,1470.0,3128.0,2.0,0.0,0.0,3.0,6.0,1470.0,0.0,2005.0,1180.0,2576.0,0.0,4598.0,May/2014,1,No,32.0,No
2014-05-09,280950,3.0,1.75,1390.0,8700.0,1.0,0.0,3.0,4.0,7.0,840.0,550.0,1912.0,1390.0,10875.0,0.0,10090.0,May/2014,2,Yes,14.000000000000002,No
2014-05-30,365250,3.0,2.25,1490.0,4522.0,2.0,0.0,0.0,3.0,7.0,1490.0,0.0,2009.0,1580.0,4667.0,0.0,6012.0,May/2014,2,No,25.0,No
2014-05-13,287000,3.0,2.25,1490.0,9600.0,1.0,0.0,0.0,4.0,7.0,1170.0,320.0,1987.0,1590.0,10104.0,0.0,11090.0,May/2014,2,Yes,13.0,No
2014-05-12,369000,2.0,2.5,980.0,895.0,2.0,0.0,0.0,3.0,8.0,670.0,310.0,2009.0,980.0,899.0,0.0,1875.0,May/2014,2,Yes,52.0,No
2014-05-13,289000,3.0,1.0,1090.0,7315.0,1.0,0.0,0.0,5.0,6.0,1090.0,0.0,1981.0,1090.0,5800.0,0.0,8405.0,May/2014,2,No,13.0,No
2014-05-27,445830,3.0,2.5,1870.0,5449.0,2.0,0.0,0.0,3.0,8.0,1870.0,0.0,2003.0,2000.0,7687.0,0.0,7319.0,May/2014,2,No,26.0,No
2014-05-22,910000,4.0,3.25,3340.0,10890.0,1.5,0.0,0.0,3.0,9.0,2240.0,1100.0,1963.0,2880.0,9794.0,1.0,14230.0,May/2014,5,Yes,23.0,Yes
2014-05-06,610000,4.0,3.0,2450.0,10117.0,1.0,0.0,0.0,5.0,8.0,1580.0,870.0,1967.0,2530.0,10125.0,0.0,12567.0,May/2014,3,Yes,19.0,No
2014-05-22,295000,4.0,2.0,980.0,10640.0,1.0,0.0,0.0,5.0,7.0,980.0,0.0,1978.0,1230.0,9750.0,0.0,11620.0,May/2014,2,No,8.0,No
2014-05-12,465000,3.0,1.5,2020.0,11358.0,1.0,0.0,0.0,4.0,6.0,1190.0,830.0,1956.0,2370.0,9520.0,0.0,13378.0,May/2014,2,Yes,15.0,No
2014-05-27,495000,3.0,2.5,1750.0,1548.0,3.0,0.0,0.0,3.0,9.0,1750.0,0.0,2013.0,1750.0,3960.0,1.0,3298.0,May/2014,3,No,53.0,No
2014-05-12,450000,3.0,1.5,1770.0,17208.0,1.0,0.0,0.0,3.0,8.0,1160.0,610.0,1959.0,2450.0,17118.0,0.0,18978.0,May/2014,2,Yes,9.0,No
2014-05-30,642000,4.0,2.5,2560.0,8780.0,2.0,0.0,0.0,3.0,9.0,2560.0,0.0,1992.0,2780.0,8357.0,1.0,11340.0,May/2014,3,No,23.0,No
2014-05-22,430000,4.0,3.0,3220.0,8936.0,2.0,0.0,0.0,3.0,9.0,2450.0,770.0,1990.0,2810.0,10500.0,1.0,12156.0,May/2014,2,Yes,26.0,No
2014-05-30,190000,3.0,2.25,1590.0,11745.0,1.0,0.0,0.0,3.0,7.0,1090.0,500.0,1978.0,1540.0,12530.0,0.0,13335.0,May/2014,1,Yes,12.0,No
2014-05-07,339950,2.0,1.0,820.0,681.0,3.0,0.0,0.0,3.0,8.0,820.0,0.0,2006.0,820.0,1156.0,0.0,1501.0,May/2014,2,No,55.00000000000001,No
2014-05-19,368000,2.0,1.5,1660.0,4680.0,1.0,0.0,0.0,5.0,6.0,830.0,830.0,1908.0,1930.0,5400.0,0.0,6340.0,May/2014,2,Yes,26.0,No
2014-05-27,450800,4.0,3.25,2510.0,5311.0,2.0,0.0,0.0,3.0,9.0,2510.0,0.0,2009.0,1590.0,9583.0,1.0,7821.0,May/2014,2,No,32.0,No
2014-05-30,860000,3.0,2.25,3060.0,12095.0,2.0,0.0,0.0,3.0,10.0,3060.0,0.0,1983.0,3060.0,11455.0,1.0,15155.0,May/2014,5,No,20.0,No
2014-05-06,561000,3.0,2.0,2000.0,7000.0,2.0,0.0,0.0,3.0,7.0,2000.0,0.0,1916.0,1840.0,7000.0,0.0,9000.0,May/2014,3,No,22.0,Yes
2014-05-09,460000,4.0,1.75,1750.0,5500.0,1.5,0.0,0.0,5.0,7.0,1050.0,700.0,1926.0,1640.0,5500.0,0.0,7250.0,May/2014,2,Yes,24.0,No
2014-05-11,842500,4.0,2.5,2160.0,5298.0,2.5,0.0,0.0,4.0,9.0,2160.0,0.0,1902.0,1720.0,2283.0,1.0,7458.0,May/2014,4,No,28.999999999999996,No
2014-05-28,1400000,4.0,3.25,2980.0,7000.0,2.0,0.0,3.0,3.0,10.0,2140.0,840.0,1900.0,2200.0,4800.0,1.0,9980.0,May/2014,7,Yes,30.0,Yes
2014-05-16,785000,3.0,2.0,2180.0,5440.0,1.0,0.0,0.0,5.0,7.0,1100.0,1080.0,1904.0,1470.0,4109.0,0.0,7620.0,May/2014,4,Yes,28.999999999999996,No
2014-05-19,518000,3.0,2.5,1680.0,2096.0,2.0,0.0,0.0,3.0,8.0,1380.0,300.0,2008.0,1360.0,2096.0,0.0,3776.0,May/2014,3,Yes,44.0,No
2014-05-12,270000,3.0,1.0,1830.0,8209.0,1.0,0.0,0.0,3.0,7.0,1830.0,0.0,1942.0,2150.0,12000.0,0.0,10039.0,May/2014,1,No,18.0,No
2014-05-28,150000,3.0,1.0,820.0,7680.0,1.5,0.0,0.0,3.0,6.0,820.0,0.0,1910.0,1470.0,6912.0,0.0,8500.0,May/2014,1,No,10.0,No
2014-05-23,416000,3.0,1.5,1110.0,9762.0,1.0,0.0,0.0,4.0,7.0,1110.0,0.0,1963.0,1900.0,9720.0,0.0,10872.0,May/2014,2,No,10.0,No
2014-05-23,462000,3.0,1.75,1300.0,2580.0,1.0,0.0,0.0,5.0,7.0,820.0,480.0,1919.0,1180.0,2820.0,0.0,3880.0,May/2014,2,Yes,34.0,No
2014-05-20,1130000,6.0,3.0,2880.0,3192.0,2.0,0.0,0.0,4.0,8.0,2180.0,700.0,1919.0,1870.0,4533.0,0.0,6072.0,May/2014,6,Yes,47.0,No
2014-05-22,622500,4.0,2.5,2980.0,8107.0,2.0,0.0,0.0,3.0,9.0,2980.0,0.0,2000.0,2750.0,7760.0,1.0,11087.0,May/2014,3,No,27.0,No
2014-05-05,600000,3.0,1.75,1880.0,6360.0,1.0,0.0,0.0,4.0,7.0,1040.0,840.0,1945.0,1770.0,6175.0,0.0,8240.0,May/2014,3,Yes,23.0,No
2014-05-07,420000,2.0,1.5,1040.0,3500.0,1.5,0.0,0.0,4.0,6.0,1040.0,0.0,1904.0,1340.0,1213.0,0.0,4540.0,May/2014,2,No,23.0,No
2014-05-24,440500,3.0,2.5,2460.0,4399.0,2.0,0.0,0.0,3.0,7.0,2460.0,0.0,2007.0,2060.0,4399.0,0.0,6859.0,May/2014,2,No,36.0,No
2014-05-06,390000,3.0,1.75,1260.0,6500.0,1.0,0.0,0.0,4.0,7.0,1260.0,0.0,1966.0,1500.0,7700.0,0.0,7760.0,May/2014,2,No,16.0,No
2014-05-14,364000,4.0,1.75,2010.0,8625.0,1.0,0.0,0.0,4.0,7.0,1340.0,670.0,1957.0,1500.0,8400.0,0.0,10635.0,May/2014,2,Yes,19.0,No
2014-05-21,199000,4.0,2.0,2030.0,8120.0,2.0,0.0,0.0,3.0,7.0,2030.0,0.0,1950.0,1520.0,9440.0,0.0,10150.0,May/2014,1,No,20.0,No
2014-05-19,390000,4.0,2.5,2490.0,8290.0,2.0,0.0,0.0,3.0,9.0,2490.0,0.0,1999.0,2690.0,7008.0,1.0,10780.0,May/2014,2,No,23.0,No
2014-05-16,655000,5.0,3.25,3690.0,12353.0,2.0,0.0,0.0,5.0,9.0,3690.0,0.0,1977.0,2290.0,9082.0,1.0,16043.0,May/2014,3,No,23.0,No
2014-05-08,1310000,5.0,3.25,2800.0,3200.0,1.5,0.0,0.0,5.0,10.0,1910.0,890.0,1932.0,2450.0,3500.0,1.0,6000.0,May/2014,7,Yes,47.0,Yes
2014-05-27,535000,2.0,1.0,1040.0,5527.0,1.0,0.0,0.0,3.0,7.0,1040.0,0.0,1951.0,2080.0,7020.0,0.0,6567.0,May/2014,3,No,16.0,No
2014-05-27,468000,2.0,1.0,1160.0,6000.0,1.0,0.0,0.0,4.0,7.0,860.0,300.0,1942.0,1330.0,6000.0,0.0,7160.0,May/2014,3,Yes,16.0,No
2014-05-21,1130000,4.0,3.25,3810.0,8519.0,1.0,0.0,1.0,3.0,10.0,2680.0,1130.0,2007.0,3240.0,10748.0,1.0,12329.0,May/2014,6,Yes,31.0,No
2014-05-06,191000,3.0,1.5,800.0,8850.0,1.0,0.0,0.0,4.0,6.0,800.0,0.0,1959.0,820.0,8775.0,0.0,9650.0,May/2014,1,No,8.0,No
2014-05-03,553000,2.0,1.0,900.0,5000.0,1.0,0.0,0.0,3.0,7.0,900.0,0.0,1944.0,1280.0,5000.0,0.0,5900.0,May/2014,3,No,15.0,No
2014-05-13,525000,3.0,2.5,1580.0,1161.0,2.0,0.0,0.0,3.0,8.0,1010.0,570.0,2008.0,1680.0,1177.0,0.0,2741.0,May/2014,3,Yes,57.99999999999999,No
2014-05-27,330000,4.0,1.0,1360.0,13372.0,1.0,0.0,0.0,3.0,7.0,1360.0,0.0,1955.0,1540.0,10283.0,0.0,14732.0,May/2014,2,No,9.0,No
2014-05-05,415000,3.0,2.25,1620.0,998.0,2.5,0.0,0.0,3.0,8.0,1540.0,80.0,2010.0,1620.0,1299.0,0.0,2618.0,May/2014,2,Yes,62.0,No
2014-05-15,263000,3.0,2.25,1590.0,7748.0,2.0,0.0,0.0,4.0,7.0,1590.0,0.0,1991.0,1590.0,7606.0,0.0,9338.0,May/2014,1,No,17.0,No
2014-05-28,599000,4.0,2.75,2020.0,2750.0,1.0,0.0,0.0,3.0,8.0,1010.0,1010.0,1917.0,1840.0,4000.0,0.0,4770.0,May/2014,3,Yes,42.0,Yes
2014-05-09,465000,4.0,2.5,1930.0,9653.0,1.0,0.0,0.0,4.0,9.0,1930.0,0.0,1968.0,2100.0,10454.0,1.0,11583.0,May/2014,2,No,17.0,No
2014-05-14,800000,3.0,1.0,1700.0,4400.0,1.5,0.0,0.0,4.0,8.0,1700.0,0.0,1906.0,1610.0,4180.0,0.0,6100.0,May/2014,4,No,28.000000000000004,No
2014-05-12,255000,2.0,1.0,1220.0,2500.0,1.0,0.0,0.0,3.0,6.0,770.0,450.0,1910.0,1540.0,3000.0,0.0,3720.0,May/2014,1,Yes,33.0,No
2014-05-23,383000,3.0,1.0,1800.0,5612.0,1.0,0.0,0.0,4.0,7.0,1200.0,600.0,1942.0,1450.0,5250.0,0.0,7412.0,May/2014,2,Yes,24.0,No
2014-05-19,640000,2.0,2.25,1540.0,958.0,3.0,0.0,0.0,3.0,9.0,1540.0,0.0,2007.0,1410.0,958.0,1.0,2498.0,May/2014,3,No,62.0,No
2014-05-27,967500,3.0,3.75,3250.0,5797.0,2.0,0.0,2.0,4.0,8.0,2370.0,880.0,1951.0,1840.0,5797.0,0.0,9047.0,May/2014,5,Yes,36.0,No
2014-05-21,556000,3.0,2.25,2020.0,3600.0,2.0,0.0,0.0,3.0,8.0,2020.0,0.0,1998.0,2070.0,3699.0,0.0,5620.0,May/2014,3,No,36.0,No
2014-05-27,435000,3.0,1.0,1270.0,4000.0,1.5,0.0,2.0,3.0,7.0,1270.0,0.0,1928.0,1560.0,4000.0,0.0,5270.0,May/2014,2,No,24.0,No
2014-05-21,260000,6.0,2.0,2220.0,8797.0,1.0,0.0,0.0,3.0,7.0,2220.0,0.0,1977.0,1170.0,5123.0,0.0,11017.0,May/2014,1,No,20.0,No
2014-05-09,224500,4.0,1.0,1430.0,8355.0,1.5,0.0,0.0,4.0,7.0,1430.0,0.0,1983.0,1550.0,7938.0,0.0,9785.0,May/2014,1,No,15.0,No
2014-05-23,255000,3.0,2.0,1490.0,8371.0,1.5,0.0,0.0,3.0,7.0,1490.0,0.0,1984.0,1350.0,7846.0,0.0,9861.0,May/2014,1,No,15.0,No
2014-05-05,549000,2.0,1.0,1140.0,5400.0,1.0,0.0,0.0,5.0,7.0,1140.0,0.0,1908.0,1520.0,4800.0,0.0,6540.0,May/2014,3,No,17.0,No
2014-05-07,794154,4.0,2.0,2210.0,8556.0,1.0,0.0,1.0,4.0,8.0,1210.0,1000.0,1954.0,2190.0,7975.0,0.0,10766.0,May/2014,4,Yes,21.0,No
2014-05-15,765000,5.0,3.75,3580.0,14275.0,2.0,0.0,0.0,3.0,10.0,3190.0,390.0,1999.0,2740.0,14300.0,1.0,17855.0,May/2014,4,Yes,20.0,No
2014-05-08,230000,3.0,1.0,1390.0,16000.0,1.0,0.0,0.0,4.0,6.0,1390.0,0.0,1960.0,1420.0,10000.0,0.0,17390.0,May/2014,1,No,8.0,No
2014-05-22,380000,5.0,3.5,2420.0,4670.0,2.0,0.0,0.0,3.0,7.0,2420.0,0.0,2013.0,1430.0,4468.0,0.0,7090.0,May/2014,2,No,34.0,No
2014-05-23,950000,5.0,3.25,3400.0,7452.0,2.0,0.0,0.0,3.0,10.0,3400.0,0.0,1999.0,2650.0,8749.0,1.0,10852.0,May/2014,5,No,31.0,No
2014-05-14,530000,4.0,2.75,2450.0,15002.0,1.0,0.0,0.0,5.0,9.0,2450.0,0.0,1974.0,2650.0,15055.0,1.0,17452.0,May/2014,3,No,14.000000000000002,No
2014-05-30,356700,2.0,1.0,1090.0,5000.0,1.0,0.0,0.0,4.0,7.0,730.0,360.0,1942.0,990.0,5250.0,0.0,6090.0,May/2014,2,Yes,18.0,No
2014-05-15,575000,2.0,1.0,1490.0,6000.0,1.0,0.0,0.0,3.0,7.0,1090.0,400.0,1946.0,1590.0,6000.0,0.0,7490.0,May/2014,3,Yes,20.0,No
2014-05-22,398000,2.0,1.0,590.0,10945.0,1.5,0.0,0.0,3.0,5.0,590.0,0.0,1983.0,2020.0,15180.0,0.0,11535.0,May/2014,2,No,5.0,No
2014-05-06,460000,2.0,2.25,1230.0,929.0,2.0,0.0,0.0,3.0,8.0,1020.0,210.0,2004.0,1270.0,1370.0,0.0,2159.0,May/2014,2,Yes,56.99999999999999,No
2014-05-20,494000,4.0,1.75,2090.0,4300.0,1.5,0.0,0.0,4.0,7.0,1250.0,840.0,1925.0,1670.0,5000.0,0.0,6390.0,May/2014,3,Yes,33.0,No
2014-05-26,379950,3.0,1.5,1690.0,9144.0,1.0,0.0,0.0,4.0,7.0,1140.0,550.0,1956.0,1840.0,10600.0,0.0,10834.0,May/2014,2,Yes,16.0,No
2014-05-22,431500,3.0,3.5,1900.0,1612.0,2.0,0.0,0.0,3.0,8.0,1430.0,470.0,2008.0,1780.0,1525.0,0.0,3512.0,May/2014,2,Yes,54.0,No
2014-05-15,340000,3.0,2.25,1960.0,8136.0,1.0,0.0,0.0,3.0,7.0,980.0,980.0,1948.0,1840.0,7480.0,0.0,10096.0,May/2014,2,Yes,19.0,No
2014-05-09,769900,4.0,3.5,2730.0,3047.0,2.0,0.0,0.0,3.0,8.0,2400.0,330.0,2006.0,1980.0,4600.0,0.0,5777.0,May/2014,4,Yes,47.0,No
2014-05-02,550000,4.0,2.5,1940.0,10500.0,1.0,0.0,0.0,4.0,7.0,1140.0,800.0,1976.0,2200.0,10500.0,0.0,12440.0,May/2014,3,Yes,16.0,No
2014-05-06,312000,4.0,2.0,1300.0,7054.0,1.0,0.0,0.0,3.0,7.0,1300.0,0.0,1950.0,1560.0,7100.0,0.0,8354.0,May/2014,2,No,16.0,Yes
2014-05-22,494400,2.0,1.75,1560.0,1750.0,1.0,0.0,0.0,4.0,6.0,780.0,780.0,1904.0,1850.0,3600.0,0.0,3310.0,May/2014,3,Yes,47.0,No
2014-05-27,415000,5.0,1.5,1900.0,10226.0,1.0,0.0,0.0,3.0,7.0,1130.0,770.0,1961.0,1690.0,10227.0,0.0,12126.0,May/2014,2,Yes,16.0,No
2014-05-29,602500,4.0,2.5,2760.0,6850.0,2.0,0.0,0.0,3.0,9.0,2760.0,0.0,1999.0,2640.0,9803.0,1.0,9610.0,May/2014,3,No,28.999999999999996,No
2014-05-23,439950,4.0,2.5,2380.0,12067.0,2.0,0.0,0.0,3.0,7.0,2380.0,0.0,2002.0,2330.0,8621.0,0.0,14447.0,May/2014,2,No,16.0,No
2014-05-09,225000,3.0,2.5,2000.0,9202.0,2.0,0.0,0.0,4.0,7.0,2000.0,0.0,1992.0,1750.0,7827.0,0.0,11202.0,May/2014,1,No,18.0,No
2014-05-21,334990,4.0,2.5,2220.0,4228.0,2.0,0.0,0.0,3.0,8.0,2220.0,0.0,2014.0,2220.0,4157.0,0.0,6448.0,May/2014,2,No,34.0,No
2014-05-23,200000,4.0,1.0,1350.0,11507.0,1.0,0.0,0.0,3.0,7.0,1350.0,0.0,1966.0,1320.0,25675.0,0.0,12857.0,May/2014,1,No,11.0,No
2014-05-20,525000,3.0,1.5,1540.0,4773.0,2.0,0.0,0.0,3.0,8.0,1540.0,0.0,1941.0,1540.0,5750.0,0.0,6313.0,May/2014,3,No,24.0,Yes
2014-05-16,725000,5.0,2.75,2830.0,5310.0,2.0,0.0,0.0,3.0,9.0,2830.0,0.0,2006.0,3150.0,6581.0,1.0,8140.0,May/2014,4,No,35.0,No
2014-05-29,300000,3.0,2.25,1910.0,3844.0,1.0,0.0,0.0,4.0,6.0,820.0,0.0,1916.0,1520.0,3844.0,0.0,4664.0,May/2014,2,No,41.0,No
2014-05-14,955000,5.0,2.25,2510.0,9887.0,2.0,0.0,0.0,3.0,8.0,2510.0,0.0,1972.0,2510.0,10006.0,0.0,12397.0,May/2014,5,No,20.0,No
2014-05-14,405100,2.0,1.0,840.0,3522.0,1.0,0.0,0.0,3.0,6.0,840.0,0.0,1947.0,1390.0,4800.0,0.0,4362.0,May/2014,2,No,19.0,No
2014-05-12,870300,4.0,2.5,2350.0,3150.0,1.5,0.0,0.0,4.0,8.0,1690.0,660.0,1910.0,1750.0,3150.0,0.0,5500.0,May/2014,5,Yes,43.0,No
2014-05-27,260000,3.0,2.0,1630.0,8018.0,1.0,0.0,0.0,3.0,7.0,1630.0,0.0,2003.0,1610.0,8397.0,0.0,9648.0,May/2014,1,No,17.0,No
2014-05-29,264000,3.0,1.5,1470.0,14821.0,1.0,0.0,0.0,4.0,7.0,1470.0,0.0,1958.0,1760.0,15370.0,0.0,16291.0,May/2014,1,No,9.0,No
2014-05-07,1340000,3.0,3.0,2960.0,5500.0,2.0,0.0,2.0,3.0,10.0,2440.0,520.0,1937.0,2960.0,5876.0,1.0,8460.0,May/2014,7,Yes,35.0,Yes
2014-05-07,749950,4.0,2.75,2600.0,6050.0,2.0,0.0,0.0,5.0,8.0,1960.0,640.0,1949.0,1990.0,6050.0,0.0,8650.0,May/2014,4,Yes,30.0,No
2014-05-16,799000,4.0,3.25,3120.0,5000.0,2.0,0.0,0.0,3.0,9.0,2370.0,750.0,2005.0,2520.0,6000.0,1.0,8120.0,May/2014,4,Yes,38.0,No
2014-05-13,460000,3.0,2.25,2350.0,10450.0,1.0,0.0,0.0,3.0,8.0,1390.0,960.0,1977.0,2250.0,10450.0,0.0,12800.0,May/2014,2,Yes,18.0,No
2014-05-02,407500,3.0,2.5,1930.0,10460.0,2.0,0.0,0.0,3.0,8.0,1930.0,0.0,1996.0,2290.0,8228.0,0.0,12390.0,May/2014,2,No,16.0,No
2014-05-28,335000,4.0,2.0,1480.0,3132.0,1.0,0.0,0.0,5.0,6.0,740.0,740.0,1910.0,1480.0,6420.0,0.0,4612.0,May/2014,2,Yes,32.0,No
2014-05-28,590000,3.0,2.0,1650.0,6150.0,2.0,0.0,0.0,4.0,7.0,1650.0,0.0,1926.0,1280.0,6150.0,0.0,7800.0,May/2014,3,No,21.0,Yes
2014-05-06,485000,3.0,2.0,1420.0,4080.0,1.5,0.0,0.0,3.0,7.0,1420.0,0.0,1905.0,1420.0,4590.0,0.0,5500.0,May/2014,3,No,26.0,Yes
2014-05-20,260000,4.0,2.5,1990.0,6671.0,2.0,0.0,0.0,3.0,7.0,1990.0,0.0,1989.0,1862.0,6566.0,0.0,8661.0,May/2014,1,No,23.0,No
2014-05-20,675000,3.0,2.25,1990.0,10260.0,2.0,0.0,0.0,4.0,8.0,1990.0,0.0,1987.0,1990.0,10260.0,0.0,12250.0,May/2014,4,No,16.0,No
2014-05-13,287600,3.0,2.5,1950.0,8251.0,2.0,0.0,0.0,3.0,7.0,1950.0,0.0,1990.0,1540.0,8588.0,0.0,10201.0,May/2014,2,No,19.0,No
2014-05-13,155000,2.0,1.0,910.0,6232.0,1.0,0.0,0.0,3.0,6.0,910.0,0.0,1943.0,1070.0,6232.0,0.0,7142.0,May/2014,1,No,13.0,No
2014-05-07,630000,2.0,2.25,2550.0,5663.0,1.0,0.0,0.0,3.0,10.0,1720.0,830.0,2011.0,2560.0,3828.0,1.0,8213.0,May/2014,3,Yes,31.0,No
